Table 1,ANZSOC Division,Year Month,Victimisations, Month Year,ANZSOC Group,ANZSOC Subdivision,Area Unit,Location Type,Locn Type Division,Meshblock,Number of Records,Occurrence Day Of Week,Occurrence Hour Of Day,Territorial Authority,Weapon,Year Month (copy 2)
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Mangapapa.,.,Community Location,1377600,1,Friday,14,Gisborne District.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Waiwhero.,.,Community Location,1264202,1,Friday,14,Rotorua District.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Starling Park.,.,Community Location,235501,1,Friday,15,Auckland.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Dinsdale North.,.,Community Location,920800,1,Friday,15,Hamilton City.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Waiheke Island.,.,Community Location,515314,1,Friday,16,Auckland.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Woodglen.,.,Community Location,284702,1,Friday,17,Auckland.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Opotiki.,.,Community Location,1339500,1,Friday,20,Opotiki District.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Mayfair.,.,Community Location,1497500,1,Friday,21,Hastings District.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Te Awamutu Central.,.,Community Location,971200,1,Friday,22,Waipa District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Paeroa.,.,Community Location,1070400,1,Friday,23,Hauraki District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2023,2,December 2023,Other serious assault,Serious assault,Springdale.,.,Community Location,1077202,1,Friday,1,Matamata-Piako District.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2023,2,December 2023,Other serious assault,Serious assault,Harania East.,.,Community Location,734201,1,Friday,11,Auckland.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2024,2,December 2024,Other serious assault,Serious assault,Orini.,.,Community Location,1297902,1,Friday,14,Whakatane District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Silverdale Central.,.,Community Location,176604,1,Monday,5,Auckland.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Thorndon-Tinakori Road.,.,Community Location,2122800,1,Monday,8,Wellington City.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Peachgrove.,.,Community Location,894600,1,Monday,8,Hamilton City.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Lake Alice.,.,Community Location,1730800,1,Monday,8,Rangitikei District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Enderley.,.,Community Location,867200,1,Monday,10,Hamilton City.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Auckland Central West.,.,Community Location,435802,1,Monday,11,Auckland.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Homai East.,.,Community Location,777601,1,Monday,12,Auckland.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Kaitaia East.,.,Community Location,14300,1,Monday,12,Far North District.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Outer Kaiti.,.,Community Location,1383300,1,Monday,12,Gisborne District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Whangarei Central.,.,Community Location,99903,1,Monday,13,Whangarei District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Hawera South.,.,Community Location,1645400,1,Monday,15,South Taranaki District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Gate Pa.,.,Community Location,1171600,1,Monday,15,Tauranga City.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Willis Street-Cambridge Terrace.,.,Community Location,2131100,1,Monday,15,Wellington City.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Palmerston North Central.,.,Community Location,1829500,1,Monday,16,Palmerston North City.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Papakura South.,.,Community Location,801200,1,Monday,16,Auckland.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Kelvin Grove.,.,Community Location,1839103,1,Monday,16,Palmerston North City.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Huntly West.,.,Community Location,944700,1,Monday,16,Waikato District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Kaiti South.,.,Community Location,1386500,1,Monday,17,Gisborne District.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,999999,.,Community Location,-230,1,Monday,17,Palmerston North City.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Monarch Park.,.,Community Location,205700,1,Monday,18,Auckland.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Wattle Farm.,.,Community Location,769100,1,Monday,18,Auckland.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Waipukurau.,.,Community Location,1521100,1,Monday,19,Central Hawke's Bay District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Mangapa-Matauri Bay.,.,Community Location,44006,1,Monday,19,Far North District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,999999,.,Community Location,-258,1,Monday,19,Hastings District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Mascot.,.,Community Location,742101,1,Monday,21,Auckland.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Hastings Central.,.,Community Location,1493200,1,Monday,22,Hastings District.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Allandale-Mokorua.,.,Community Location,1307800,1,Monday,99,Whakatane District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,2,December 2024,Other serious assault,Serious assault,Hamilton East.,.,Community Location,891802,1,Monday,14,Hamilton City.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,2,December 2024,Other serious assault,Serious assault,Caversham.,.,Community Location,2914700,1,Monday,22,Dunedin City.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,3,December 2024,Other serious assault,Serious assault,Raumanga West.,.,Community Location,107602,1,Monday,12,Whangarei District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Avon Loop.,.,Community Location,2653700,1,Saturday,0,Christchurch City.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Fruitvale.,.,Community Location,262900,1,Saturday,1,Auckland.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Oranga.,.,Community Location,605000,1,Saturday,2,Auckland.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Otahuhu West.,.,Community Location,784200,1,Saturday,2,Auckland.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Moanataiari.,.,Community Location,1049200,1,Saturday,6,Thames-Coromandel District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Tauranga Hospital.,.,Community Location,1170400,1,Saturday,7,Tauranga City.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Crawshaw.,.,Community Location,976738,1,Saturday,14,Hamilton City.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Miramar North.,.,Community Location,2203200,1,Saturday,14,Wellington City.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Parkvale.,.,Community Location,1500800,1,Saturday,15,Hastings District.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Porirua Central.,.,Community Location,2053104,1,Saturday,15,Porirua City.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Dinsdale South.,.,Community Location,921305,1,Saturday,15,Hamilton City.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Dairy Flat-Redvale.,.,Community Location,175903,1,Saturday,16,Auckland.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Hampstead.,.,Community Location,2731800,1,Saturday,16,Ashburton District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Bexley.,.,Community Location,2572102,1,Saturday,17,Christchurch City.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Papakura Central.,.,Community Location,793000,1,Saturday,17,Auckland.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Pirimai.,.,Community Location,1449300,1,Saturday,17,Napier City.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Northcote South.,.,Community Location,359600,1,Saturday,18,Auckland.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Burwood.,.,Community Location,2602700,1,Saturday,19,Christchurch City.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,999999,.,Community Location,-175,1,Saturday,19,Thames-Coromandel District.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Nawton.,.,Community Location,904800,1,Saturday,21,Hamilton City.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Hillcrest West.,.,Community Location,887900,1,Saturday,21,Hamilton City.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Regent.,.,Community Location,97000,1,Saturday,22,Whangarei District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Mt Wellington South.,.,Community Location,637400,1,Saturday,99,Auckland.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2024,2,December 2024,Other serious assault,Serious assault,Dunstan.,.,Community Location,3031501,1,Saturday,21,Central Otago District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Takanini North.,.,Community Location,766700,1,Sunday,0,Auckland.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Springdale.,.,Community Location,1094400,1,Sunday,0,Matamata-Piako District.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Ferguson.,.,Community Location,710000,1,Sunday,1,Auckland.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Auckland Central West.,.,Community Location,433302,1,Sunday,2,Auckland.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Hagley Park.,.,Community Location,2677100,1,Sunday,2,Christchurch City.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Queenstown Bay.,.,Community Location,3033400,1,Sunday,3,Queenstown-Lakes District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Marsden Point-Ruakaka.,.,Community Location,79603,1,Sunday,8,Whangarei District.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Papamoa Beach East.,.,Community Location,1204708,1,Sunday,11,Tauranga City.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Johnsonville Central.,.,Community Location,2082800,1,Sunday,13,Wellington City.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Pokeno.,.,Community Location,842102,1,Sunday,14,Waikato District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Peachgrove.,.,Community Location,894600,1,Sunday,15,Hamilton City.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Pukehangi South.,.,Community Location,1230724,1,Sunday,15,Rotorua District.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Point Chevalier South.,.,Community Location,391602,1,Sunday,16,Auckland.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Lambton.,.,Community Location,2128400,1,Sunday,16,Wellington City.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Flaxmere East.,.,Community Location,1475900,1,Sunday,17,Hastings District.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Hairini.,.,Community Location,1179605,1,Sunday,17,Tauranga City.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Parkdale.,.,Community Location,1139402,1,Sunday,18,South Waikato District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Harewood.,.,Community Location,2524110,1,Thursday,3,Christchurch City.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Berhampore West.,.,Community Location,2171200,1,Thursday,5,Wellington City.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Marton.,.,Community Location,1736800,1,Thursday,10,Rangitikei District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Linwood.,.,Community Location,2609000,1,Thursday,12,Christchurch City.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Port Nelson.,.,Community Location,2325100,1,Thursday,12,Nelson City.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Homedale East.,.,Community Location,2025300,1,Thursday,14,Lower Hutt City.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Gonville East.,.,Community Location,1723200,1,Thursday,16,Wanganui District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Arataki.,.,Community Location,1200500,1,Thursday,18,Tauranga City.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Te Aroha.,.,Community Location,1104500,1,Thursday,19,Matamata-Piako District.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Aotea.,.,Community Location,1146601,1,Thursday,20,South Waikato District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Rehia-Oneriri.,.,Community Location,132803,1,Thursday,21,Kaipara District.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2024,2,December 2024,Other serious assault,Serious assault,Darfield.,.,Community Location,2468905,1,Thursday,18,Selwyn District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Wembley Park.,.,Community Location,1689700,1,Tuesday,1,Wanganui District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Cockle Bay.,.,Community Location,654700,1,Tuesday,2,Auckland.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Homai East.,.,Community Location,777900,1,Tuesday,3,Auckland.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Kamo West.,.,Community Location,83200,1,Tuesday,9,Whangarei District.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Greerton.,.,Community Location,1176800,1,Tuesday,10,Tauranga City.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Gisborne Central.,.,Community Location,1370900,1,Tuesday,10,Gisborne District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Orewa.,.,Community Location,172104,1,Tuesday,14,Auckland.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Aorere.,.,Community Location,745900,1,Tuesday,15,Auckland.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Pakipaki.,.,Community Location,1463700,1,Tuesday,16,Hastings District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Koutu.,.,Community Location,1223301,1,Tuesday,18,Rotorua District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Tamatea North.,.,Community Location,1452100,1,Tuesday,20,Napier City.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Ngapuke.,.,Community Location,1031000,1,Tuesday,20,Ruapehu District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Takanini South.,.,Community Location,767400,1,Tuesday,21,Auckland.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Huntington.,.,Community Location,952208,1,Tuesday,21,Hamilton City.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Kaingaroa Forest.,.,Community Location,1259600,1,Tuesday,22,Rotorua District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Wallaceville.,.,Community Location,1893000,1,Tuesday,22,Upper Hutt City.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2024,1,December 2024,Other serious assault,Serious assault,Sherwood Rise.,.,Community Location,111100,1,Tuesday,22,Whangarei District.,Blunt Instrument N.F.D.,December 2024
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Papatoetoe West.,.,Community Location,658000,1,UNKNOWN,99,Auckland.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Mt Victoria West.,.,Community Location,2144000,1,Wednesday,8,Wellington City.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Woolston West.,.,Community Location,2591605,1,Wednesday,9,Christchurch City.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Ngaruawahia.,.,Community Location,855500,1,Wednesday,13,Waikato District.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,Ranui South.,.,Community Location,236302,1,Wednesday,16,Auckland.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Assault,December 2023,1,December 2023,Other serious assault,Serious assault,New Windsor.,.,Community Location,376900,1,Wednesday,20,Auckland.,Blunt Instrument N.F.D.,December 2023
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Parrs Park West.,.,Community Location,278007,1,UNKNOWN,99,Auckland.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Parrs Park.,.,Community Location,278211,1,UNKNOWN,99,Auckland.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Point Chevalier South.,.,Community Location,391000,1,UNKNOWN,99,Auckland.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Point Chevalier West.,.,Community Location,394600,1,UNKNOWN,99,Auckland.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Ponsonby East.,.,Community Location,431600,1,UNKNOWN,99,Auckland.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Puhinui South.,.,Community Location,674100,1,UNKNOWN,99,Auckland.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Puhinui South.,.,Community Location,780303,1,UNKNOWN,99,Auckland.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Pukekohe North.,.,Community Location,819600,1,UNKNOWN,99,Auckland.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Pukekohe West.,.,Community Location,822300,1,UNKNOWN,99,Auckland.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Pukekohe West.,.,Community Location,822500,1,UNKNOWN,99,Auckland.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Randwick Park.,.,Community Location,759730,1,UNKNOWN,99,Auckland.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Ranui Domain.,.,Community Location,235200,1,UNKNOWN,99,Auckland.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Ranui South.,.,Community Location,238404,1,UNKNOWN,99,Auckland.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Ranui South.,.,Community Location,238502,1,UNKNOWN,99,Auckland.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Red Hill.,.,Community Location,800312,1,UNKNOWN,99,Auckland.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Red Hill.,.,Community Location,800400,1,UNKNOWN,99,Auckland.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Redoubt South.,.,Community Location,760114,1,UNKNOWN,99,Auckland.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Remuera South.,.,Community Location,492000,1,UNKNOWN,99,Auckland.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Remuera South.,.,Community Location,492300,1,UNKNOWN,99,Auckland.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Rewarewa.,.,Community Location,261202,1,UNKNOWN,99,Auckland.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Rewarewa.,.,Community Location,264700,1,UNKNOWN,99,Auckland.,Not Applicable,November 2024
1 Victimisation Time and Place,Theft,November 2024,1,November 2024,Illegal use of a motor vehicle,Motor vehicle theft and related offences,Rongomai.,.,Community Location,713700,1,UNKNOWN,99,Auckland.,Not Applicable,November 2024
